Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev
WR,Julio Jones,9000,Final,33.8,Atl
WR,Antonio Brown,8900,Final,35.4,Pit
WR,Dez Bryant,8300,Final,9.8,Dal
QB,Aaron Rodgers,8000,KC@GB 08:30PM ET,22.66,GB
WR,Demaryius Thomas,8000,In Progress,17.8,Den
WR,Calvin Johnson,7900,In Progress,15.1,Det
QB,Andrew Luck,7900,Final,16.06,Ind
QB,Tom Brady,7700,Final,29.93,NE
WR,Emmanuel Sanders,7600,In Progress,21.6,Den
QB,Drew Brees,7500,Final,16.8,NO
RB,Adrian Peterson,7500,Final,15.7,Min
RB,Le'Veon Bell,7500,Final,0,Pit
QB,Peyton Manning,7400,In Progress,13.57,Den
RB,Marshawn Lynch,7400,Final,13.3,Sea
RB,Jamaal Charles,7400,KC@GB 08:30PM ET,22.5,KC
TE,Rob Gronkowski,7400,Final,29.85,NE
WR,DeAndre Hopkins,7400,Final,21.55,Hou
RB,Matt Forte,7300,Final,22.55,Chi
WR,Randall Cobb,7300,KC@GB 08:30PM ET,18.7,GB
RB,Jeremy Hill,7300,Final,10.7,Cin
QB,Ben Roethlisberger,7200,Final,27.85,Pit
WR,A.J. Green,7200,Final,12.4,Cin
RB,Eddie Lacy,7200,KC@GB 08:30PM ET,9.4,GB
QB,Matt Ryan,7100,Final,20.02,Atl
RB,Arian Foster,7100,Final,0,Hou
WR,Brandin Cooks,7100,Final,10.05,NO
WR,Julian Edelman,7000,Final,27.75,NE
QB,Russell Wilson,7000,Final,19.59,Sea
WR,Alshon Jeffery,6900,Final,12.8,Chi
WR,Jordan Matthews,6900,Final,21.6,Phi
QB,Cam Newton,6800,Final,20.95,Car
WR,Keenan Allen,6800,Final,18.6,SD
QB,Ryan Tannehill,6700,Final,19.9,Mia
WR,T.Y. Hilton,6700,Final,12.15,Ind
QB,Carson Palmer,6600,Final,25.44,Ari
RB,DeMarco Murray,6600,Final,14.25,Phi
WR,Mike Evans,6600,Final,0,TB
QB,Tony Romo,6400,Final,17.57,Dal
QB,Philip Rivers,6400,Final,20.53,SD
WR,Jarvis Landry,6400,Final,21.65,Mia
WR,Steve Smith Sr.,6300,Final,15.65,Bal
QB,Matthew Stafford,6300,In Progress,18.09,Det
QB,Colin Kaepernick,6300,Final,20.6,SF
QB,Sam Bradford,6300,Final,14.65,Phi
WR,Brandon Marshall,6200,Final,22.15,NYJ
QB,Joe Flacco,6200,Final,14.12,Bal
QB,Teddy Bridgewater,6200,Final,14.03,Min
RB,C.J. Anderson,6200,In Progress,6.35,Den
WR,Amari Cooper,6200,Final,18.3,Oak
RB,LeSean McCoy,6100,Final,13.15,Buf
WR,Sammy Watkins,6100,Final,9,Buf
QB,Marcus Mariota,6100,Final,21.57,Ten
QB,Alex Smith,6000,KC@GB 08:30PM ET,15.18,KC
RB,Justin Forsett,6000,Final,10.8,Bal
WR,Jeremy Maclin,6000,KC@GB 08:30PM ET,9.85,KC
RB,Mark Ingram,5900,Final,17,NO
WR,Larry Fitzgerald,5800,Final,27.45,Ari
TE,Jimmy Graham,5800,Final,9.6,Sea
QB,Tyrod Taylor,5800,Final,22.44,Buf
RB,Latavius Murray,5800,Final,16.35,Oak
QB,Andy Dalton,5700,Final,20.21,Cin
WR,Golden Tate,5700,In Progress,10.2,Det
RB,Andre Ellington,5700,Final,13.6,Ari
QB,Jay Cutler,5500,Final,12.65,Chi
WR,Andre Johnson,5500,Final,6.05,Ind
WR,Anquan Boldin,5400,Final,12.8,SF
WR,Vincent Jackson,5400,Final,11.75,TB
WR,Torrey Smith,5400,Final,15.55,SF
RB,Carlos Hyde,5400,Final,22.65,SF
QB,Jameis Winston,5400,Final,17.89,TB
WR,Marques Colston,5300,Final,8.4,NO
QB,Derek Carr,5300,Final,16.79,Oak
RB,Ronnie Hillman,5300,In Progress,3.75,Den
QB,Brandon Weeden,5200,Final,7.62,Dal
QB,Nick Foles,5200,Final,15.54,StL
RB,Lamar Miller,5200,Final,8.85,Mia
WR,Allen Robinson,5200,Final,20.1,Jax
QB,Ryan Fitzpatrick,5100,Final,15.71,NYJ
RB,Doug Martin,5100,Final,8.6,TB
WR,John Brown,5100,Final,12.05,Ari
RB,Joseph Randle,5100,Final,10.6,Dal
QB,Blake Bortles,5100,Final,16.77,Jax
QB,Johnny Manziel,5100,Final,13.38,Cle
QB,Matt Hasselbeck,5000,Final,0,Ind
QB,Michael Vick,5000,Final,-0.3,Pit
QB,Josh McCown,5000,Final,3.26,Cle
QB,Matt Cassel,5000,Final,0,Buf
QB,Charlie Whitehurst,5000,Final,0,Ten
QB,Tarvaris Jackson,5000,Final,0,Sea
QB,Derek Anderson,5000,Final,0,Car
QB,Dan Orlovsky,5000,In Progress,0,Det
WR,Roddy White,5000,Final,6.2,Atl
QB,Kellen Clemens,5000,Final,0,SD
QB,Shaun Hill,5000,Final,0,Min
QB,Matt Moore,5000,Final,0,Mia
QB,Drew Stanton,5000,Final,0,Ari
QB,Matt Schaub,5000,Final,0,Bal
QB,Luke McCown,5000,Final,0,NO
QB,Brian Hoyer,5000,Final,11.44,Hou
QB,Chad Henne,5000,Final,0,Jax
QB,Joe Webb,5000,Final,0,Car
QB,Mark Sanchez,5000,Final,0,Phi
QB,Chase Daniel,5000,KC@GB 08:30PM ET,0,KC
QB,Scott Tolzien,5000,KC@GB 08:30PM ET,0,GB
RB,Chris Ivory,5000,Final,15.5,NYJ
QB,Case Keenum,5000,Final,0,StL
QB,Jimmy Clausen,5000,Final,3.34,Chi
QB,Ryan Mallett,5000,Final,14.94,Hou
QB,Kellen Moore,5000,Final,0,Dal
QB,Austin Davis,5000,Final,0,Cle
QB,Landry Jones,5000,Final,0,Pit
TE,Travis Kelce,5000,KC@GB 08:30PM ET,20.7,KC
WR,Kendall Wright,5000,Final,13.4,Ten
QB,EJ Manuel,5000,Final,0,Buf
QB,Blaine Gabbert,5000,Final,0,SF
QB,Sean Renfree,5000,Final,0,Atl
QB,Mike Glennon,5000,Final,0,TB
QB,Ryan Griffin,5000,Final,0,TB
QB,Matt McGloin,5000,Final,11.68,Oak
QB,Matt Barkley,5000,Final,0,Ari
QB,Zach Mettenberger,5000,Final,-0.5,Ten
QB,Aaron Murray,5000,KC@GB 08:30PM ET,0,KC
QB,Brock Osweiler,5000,In Progress,0,Den
QB,Bryce Petty,5000,Final,0,NYJ
QB,AJ McCarron,5000,Final,0,Cin
QB,Geno Smith,5000,Final,0,NYJ
QB,Stephen Morris,5000,Final,0,Phi
QB,Garrett Grayson,5000,Final,0,NO
QB,Trevor Siemian,5000,In Progress,0,Den
QB,Jimmy Garoppolo,5000,Final,0,NE
QB,Sean Mannion,5000,Final,0,StL
QB,Brett Hundley,5000,KC@GB 08:30PM ET,0,GB
QB,Taylor Heinicke,5000,Final,0,Min
RB,Melvin Gordon,5000,Final,9.75,SD
WR,Davante Adams,5000,KC@GB 08:30PM ET,9.1,GB
WR,Nelson Agholor,5000,Final,3.8,Phi
RB,Jonathan Stewart,4900,Final,9.5,Car
WR,Eric Decker,4900,Final,17.7,NYJ
WR,James Jones,4800,KC@GB 08:30PM ET,15.5,GB
TE,Greg Olsen,4800,Final,7.55,Car
RB,C.J. Spiller,4800,Final,3.6,NO
TE,Tyler Eifert,4800,Final,24.65,Cin
WR,Donte Moncrief,4800,Final,22.4,Ind
WR,Mike Wallace,4700,Final,9.55,Min
RB,Giovani Bernard,4700,Final,17.35,Cin
RB,Todd Gurley,4700,Final,0,StL
TE,Martellus Bennett,4600,Final,12.65,Chi
WR,Michael Crabtree,4600,Final,18.9,Oak
WR,Terrance Williams,4600,Final,14.7,Dal
RB,Devonta Freeman,4600,Final,11.8,Atl
RB,Bishop Sankey,4600,Final,13.4,Ten
WR,Breshad Perriman,4600,Final,0,Bal
RB,Frank Gore,4500,Final,5.6,Ind
TE,Jason Witten,4500,Final,19.3,Dal
TE,Julius Thomas,4500,Final,0,Jax
RB,Ameer Abdullah,4500,In Progress,11.1,Det
RB,Isaiah Crowell,4500,Final,9.25,Cle
RB,Tevin Coleman,4500,Final,8.6,Atl
RB,DeAngelo Williams,4400,Final,24.2,Pit
WR,Percy Harvin,4400,Final,14.6,Buf
RB,Danny Woodhead,4400,Final,18.8,SD
RB,T.J. Yeldon,4400,Final,10.5,Jax
WR,Stevie Johnson,4300,Final,17.85,SD
RB,Tre Mason,4300,Final,5,StL
WR,Travis Benjamin,4200,Final,26.7,Cle
RB,Dion Lewis,4200,Final,20.4,NE
RB,Joique Bell,4200,In Progress,4.95,Det
TE,Austin Seferian-Jenkins,4100,Final,17.95,TB
RB,Chris Johnson,4000,Final,5.45,Ari
RB,Darren McFadden,4000,Final,5.85,Dal
WR,Charles Johnson,4000,Final,4.35,Min
WR,Doug Baldwin,4000,Final,16.35,Sea
RB,LeGarrette Blount,4000,Final,0.4,NE
WR,Michael Floyd,4000,Final,1.4,Ari
RB,Benny Cunningham,4000,Final,11.45,StL
RB,David Johnson,4000,Final,15,Ari
WR,Malcom Floyd,3900,Final,8.7,SD
RB,Darren Sproles,3800,Final,12.75,Phi
RB,Reggie Bush,3800,Final,0.8,SF
WR,Kenny Britt,3800,Final,9.05,StL
WR,Leonard Hankerson,3800,Final,11.65,Atl
TE,Jordan Cameron,3800,Final,10.25,Mia
WR,Rishard Matthews,3800,Final,16.95,Mia
WR,Eddie Royal,3700,Final,6.45,Chi
WR,Markus Wheaton,3700,Final,9.6,Pit
WR,Tavon Austin,3700,Final,10.55,StL
WR,Allen Hurns,3700,Final,10.4,Jax
WR,Brandon Coleman,3700,Final,10.2,NO
WR,Nate Washington,3600,Final,14.4,Hou
WR,Marvin Jones,3600,Final,8.5,Cin
RB,Alfred Blue,3600,Final,3.95,Hou
TE,Heath Miller,3500,Final,13.95,Pit
WR,Darrius Heyward-Bey,3500,Final,13.75,Pit
WR,Jermaine Kearse,3500,Final,7.8,Sea
TE,Zach Ertz,3500,Final,6.15,Phi
WR,Cecil Shorts III,3500,Final,9.55,Hou
DST,Seahawks ,3400,Final,11.5,Sea
TE,Delanie Walker,3400,Final,13.3,Ten
WR,Dwayne Bowe,3400,Final,0,Cle
WR,Brian Quick,3400,Final,0,StL
WR,Kamar Aiken,3400,Final,6.9,Bal
RB,Chris Polk,3400,Final,5.4,Hou
RB,Charles Sims,3400,Final,6.85,TB
WR,Justin Hunter,3400,Final,3.75,Ten
WR,Kenny Stills,3400,Final,2.5,Mia
WR,Corey Brown,3400,Final,9,Car
RB,Terrance West,3400,Final,1.55,Ten
WR,Marqise Lee,3400,Final,5.9,Jax
WR,Tyler Lockett,3400,Final,8.55,Sea
RB,Duke Johnson Jr.,3400,Final,3.25,Cle
WR,Greg Jennings,3300,Final,2.95,Mia
WR,Ted Ginn Jr.,3300,Final,10.75,Car
WR,Danny Amendola,3300,Final,4.3,NE
WR,Andrew Hawkins,3300,Final,6.35,Cle
RB,Ryan Mathews,3300,Final,5.9,Phi
WR,Cole Beasley,3300,Final,6.65,Dal
TE,Dwayne Allen,3300,Final,5.35,Ind
TE,Ladarius Green,3300,Final,14.05,SD
TE,Kyle Rudolph,3300,Final,12.15,Min
WR,Mohamed Sanu,3300,Final,3.95,Cin
TE,Crockett Gillmore,3300,Final,15.05,Bal
WR,Robert Woods,3300,Final,9.85,Buf
RB,James White,3300,Final,0,NE
WR,Phillip Dorsett,3300,Final,4.5,Ind
TE,Eric Ebron,3300,In Progress,15.3,Det
WR,Dorial Green-Beckham,3300,Final,4.15,Ten
DST,Texans ,3200,Final,4,Hou
TE,Vernon Davis,3200,Final,9.45,SF
WR,Devin Hester,3200,Final,0,Atl
WR,Louis Murphy,3200,Final,5.6,TB
RB,Marcel Reece,3200,Final,10.1,Oak
RB,Lance Dunbar,3200,Final,11.65,Dal
WR,Marquess Wilson,3200,Final,4.95,Chi
WR,Chris Conley,3200,KC@GB 08:30PM ET,0,KC
WR,DeVante Parker,3200,Final,0.65,Mia
RB,Karlos Williams,3200,Final,11.6,Buf
RB,Mike Davis,3200,Final,3.8,SF
DST,Patriots ,3100,Final,9,NE
DST,Cardinals ,3100,Final,11.5,Ari
DST,Panthers ,3100,Final,12.5,Car
WR,Jerricho Cotchery,3100,Final,8.3,Car
TE,Charles Clay,3100,Final,9.6,Buf
RB,Jonathan Grimes,3100,Final,7.35,Hou
RB,Theo Riddick,3100,In Progress,10.15,Det
WR,Joshua Bellamy,3100,Final,5.9,Chi
RB,Javorius Allen,3100,Final,3.05,Bal
WR,Devin Funchess,3100,Final,2.2,Car
DST,Bills ,3000,Final,5.5,Buf
DST,Bengals ,3000,Final,10.5,Cin
DST,Broncos ,3000,In Progress,19,Den
DST,Jets ,3000,Final,15.5,NYJ
DST,Steelers ,3000,Final,4.5,Pit
WR,Lance Moore,3000,In Progress,3.3,Det
WR,Jason Avant,3000,KC@GB 08:30PM ET,0,KC
WR,Miles Austin,3000,Final,2.1,Phi
